范围,题目,答案
中医儿科学,"题干描述：口疮虚火上浮证的治法是
选项A：疏风散火，清热解毒
选项B：消食导滞，清热解毒
选项C：清心凉血，泻火解毒
选项D：疏风解表，泻火解毒
选项E：滋阴降火，引火归原",E
中医基础理论,"题干描述：寒邪的性质和致病特点是
选项A：凝滞
选项B：黏滞
选项C：数变
选项D：重着
选项E：升散",A
中医基础理论,"题干描述：有君相安位关系的两脏是
选项A：心与肺
选项B：心与肾
选项C：肺与脾
选项D：脾与肝
选项E：肺与肝",B
中医内科,"题干描述：与水肿关系最为密切的脏腑是
选项A：肺、脾、肾
选项B：肺、胃、肾
选项C：心、脾、肾
选项D：肝、脾、肾
选项E：心、肝、肾",A
中医外科,"题干描述：适用于一切确已成脓者的是
选项A：砭镰法
选项B：切开法
选项C：挑治法
选项D：挂线法
选项E：结扎法",B
中医诊断学,"题干描述：久病小便频数，色清量多，夜间明显者多见于
选项A：膀胱湿热
选项B：热盛伤津
选项C：中气下陷
选项D：久病肾虚
选项E：以上都不是",D
中医外科,"题干描述：患者左前臂部有一肿块，呈扁平隆起，质地柔软，状如海绵，皮色略紫，按之肿块可缩小，据此可诊断为
选项A：气瘤
选项B：脂瘤
选项C：筋瘤
选项D：血瘤
选项E：肉瘤",D
方剂学,"题干描述：方中芍药与桂枝配伍以调和营卫的方剂是
选项A：阳和汤
选项B：逍遥散
选项C：桂枝汤
选项D：小建中汤
选项E：痛泻要方",C
中医内科,"题干描述：大肠癌瘀毒内阻证的治疗方剂
选项A：少腹逐瘀汤
选项B：复元活血汤
选项C：膈下逐瘀汤
选项D：血府逐瘀汤
选项E：桃核承气汤",C
中药学,"题干描述：穿山甲兼能治疗的病证是
选项A：肠燥便秘
选项B：食积胀痛
选项C：血虚经闭
选项D：痛经下乳
选项E：热病神昏",D
方剂学,"题干描述：生脉散适用于
选项A：气阴两伤，久咳自汗者
选项B：疮疡溃后，久不收口者
选项C：阴虚火旺，骨蒸盗汗者
选项D：虚火灼金，咳嗽咯血者
选项E：虚劳肺萎，干咳无痰者",A
中药学,"题干描述：具有镇惊安神，平肝潜阳功效的药物是
选项A：石菖蒲
选项B：远志
选项C：龙骨
选项D：酸枣仁
选项E：合欢皮",C
中医内科,"题干描述：患者精神抑郁，表情淡漠，神志痴呆，语无伦次，不思饮食，舌苔腻，脉弦滑。其证候是
选项A：肝气郁结
选项B：痰气郁结
选项C：痰火上扰
选项D：风痰闭阻
选项E：痰浊壅塞",B
中药学,"题干描述：下列药物中可用于治疗巅顶头痛的是
选项A：藁本
选项B：防风
选项C：细辛
选项D：辛夷
选项E：荆芥",A
中医诊断学,"题干描述：真寒假热的面色是
选项A：满面通红
选项B：浮红如妆
选项C：面色紫暗
选项D：面呈青色
选项E：面呈黑色",B
中药学,"题干描述：下列哪项主要是概括药物的药性和作用
选项A：归经
选项B：四气五味
选项C：升降浮沉
选项D：毒性
选项E：配伍七情",B
中药学,"题干描述：薄荷入汤剂宜
选项A：先煎
选项B：冲服
选项C：后下
选项D：另煎
选项E：布包煎",C
中医儿科学,"题干描述：儿童多动症，其病在肝者，临床证候是
选项A：易于冲动，好动难静，容易发怒，常不能自控
选项B：兴趣多变，做事有头元尾，记忆力差
选项C：脑失精明，学习成绩低下，记忆力欠佳，或有遗尿、腰酸乏力
选项D：注意力不集中，情绪不稳定，多梦烦躁
选项E：神思涣散，活动过多，动作笨拙",A
方剂学,"题干描述：连朴饮的功用是
选项A：解表化湿，理气和中
选项B：宣畅气机，清利湿热
选项C：清热泻火，利水通淋
选项D：利湿消肿，理气健脾
选项E：清热化湿，理气和中",E
中医儿科学,"题干描述：小儿反复呼吸道感染病位主要在肺，常涉及的脏腑是
选项A：脾肾
选项B：心肝
选项C：脾胃
选项D：肝肾
选项E：心肾",A
方剂学,"题干描述：治疗气阴两亏之肺痿，宜用
选项A：玉液汤
选项B：炙甘草汤
选项C：麦门冬汤
选项D：养阴清肺汤
选项E：清燥救肺汤",B
中医基础理论,"题干描述：手厥阴经分布在
选项A：上肢内侧前缘
选项B：上肢外侧前缘
选项C：上肢内侧后缘
选项D：上肢内侧中线
选项E：上肢外侧后缘",D
中药学,"题干描述：善于治疗风热音哑，肝热目赤，小儿夜啼的药物是
选项A：薄荷
选项B：柴胡
选项C：葛根
选项D：桑叶
选项E：蝉蜕",E
中医儿科学,"题干描述：抽动障碍阴虚风动证的治法为
选项A：滋阴潜阳，柔肝熄风
选项B：补益肝肾，平肝熄风
选项C：滋阴潜阳，镇肝熄风
选项D：育阴潜阳，滋肾养肝
选项E：滋阴养血，柔肝熄风",A
中医内科,"题干描述：头晕目眩，视物旋转不定，甚则不能站立，耳鸣，但无神志异常的表现。此为
选项A：痫证
选项B：眩晕
选项C：厥证
选项D：昏迷
选项E：中风",B
方剂学,"题干描述：参苏饮与败毒散二方组成中均含有的药物是
选项A：半夏
苏叶
选项B：羌活
独活
选项C：柴胡
川芎
选项D：木香
枳壳
选项E：前胡
茯苓",E
中医内科,"题干描述：郁病痰气郁结证的治疗宜选用
选项A：柴胡疏肝散
选项B：丹栀逍遥散
选项C：半夏厚朴汤
选项D：甘麦大枣汤
选项E：龙胆泻肝汤",C
中医儿科学,"题干描述：腹部膨大，肢体瘦弱，发稀，额上青筋显现，多为
选项A：积滞
选项B：厌食
选项C：疳积
选项D：泄泻
选项E：五迟",C
中医内科,"题干描述：下列不是外感腰痛的致病病邪的是
选项A：风
选项B：寒
选项C：湿
选项D：热
选项E：燥",E
中药学,"题干描述：下列除哪味药物外，均是妊娠禁用药物
选项A：牵牛
选项B：桃仁
选项C：巴豆
选项D：莪术
选项E：水蛭",B
中药学,"题干描述：可以治疗虚寒气滞，久泻不止的药物是
选项A：芡实
选项B：赤石脂
选项C：莲子
选项D：浮小麦
选项E：肉豆蔻",E
针灸学,"题干描述：被称为“阳脉之海”的是
选项A：带脉
选项B：督脉
选项C：冲脉
选项D：阳维脉
选项E：阳脉",B
中医儿科学,"题干描述：患儿，2岁4个月。平素形体消瘦，面色萎黄，乏力食少，近日过食甜点后，进食更少，且稍食则饱胀，腹满喜按，大便溏、酸臭，夹有不消化食物，舌淡红，苔白腻，指纹淡滞。治疗应首选
选项A：保和丸
选项B：消乳丸
选项C：健脾丸
选项D：八珍汤
选项E：肥儿丸",C
中医外科,"题干描述：下列哪项不是外科局部辨证的主要内容
选项A：辨肿
选项B：辨痛
选项C：辨痒
选项D：辨脓
选项E：辨气血",E
中药学,"题干描述：具有疏散风热，清利头目之功效的药物是
选项A：葛根
选项B：浮萍
选项C：升麻
选项D：蔓荆子
选项E：淡豆豉",D
中医诊断学,"题干描述：肾在舌上分属部位是
选项A：舌尖
选项B：舌中
选项C：舌根
选项D：舌边
选项E：舌底",C
中医外科,"题干描述：脱肛相当于西医学的
选项A：肛裂
选项B：直肠脱垂
选项C：刚漏
选项D：锁肛痔
选项E：以上都不是",B
中医儿科学,"题干描述：抽动障碍脾虚痰聚证首选方剂为
选项A：暖肝理脾汤
选项B：十味温胆汤
选项C：大定风珠
选项D：固真汤
选项E：六君子汤",B
中药学,"题干描述：既能行气宽中安胎，又能解表散寒、解鱼蟹毒的药物是
选项A：砂仁
选项B：黄芩
选项C：紫苏
选项D：白术
选项E：豆蔻",C
中医儿科学,"题干描述：胎怯的关键病机是
选项A：脾肾两虚
选项B：肺肾两虚
选项C：肝肾不足
选项D：肺脾两虚
选项E：五脏不足",A
中医内科,"题干描述：下列选项中，不属于痴呆诊断依据的是
选项A：无理由地欣快，易于激动或暴怒
选项B：精神错乱，语无伦次，静而多喜
选项C：记忆力减退，理解力下降
选项D：性情孤僻，表情淡漠，语言重复
选项E：抽象思维能力下降",B
针灸学,"题干描述：下列各组中，属于原络配穴的是
选项A：大陵、内关
选项B：内关、外关
选项C：太渊、合谷
选项D：神门、支正
选项E：太白、冲阳",D
中医内科,"题干描述：肾癌脾肾两虚证的治法是
选项A：行气散结
选项B：益气养阴
选项C：温阳益精
选项D：滋肾养肝
选项E：健脾益肾，软坚散结",E
针灸学,"题干描述：与上牙痛关系最密切的经脉是
选项A：足阳明胃经
选项B：手少阳三焦经
选项C：手阳明大肠经
选项D：手太阳小肠经
选项E：足少阳胆经",A
中医基础理论,"题干描述：属于“金”的体是
选项A：筋
选项B：脉
选项C：肉
选项D：皮
选项E：骨",D
中医内科,"题干描述：左某，男，42岁。患慢性肝炎十余年。近一周来出现腹胀大，按之不坚，胁下胀满疼痛，纳食减少，食后作胀，嗳气不爽，小便短少，苔白腻，脉弦。治宜选用
选项A：柴胡疏肝散
选项B：五苓散
选项C：茵陈蒿汤
选项D：调营饮
选项E：中满分消丸",A
中医基础理论,"题干描述：肾在志为
选项A：怒
选项B：喜
选项C：思
选项D：悲
选项E：恐",E
中医基础理论,"题干描述：属于“火”的志是
选项A：怒
选项B：喜
选项C：思
选项D：悲
选项E：恐",B
方剂学,"题干描述：四逆汤与当归四逆汤二方组成中均含有的药物是
选项A：当归
选项B：附子
选项C：桂枝
选项D：干姜
选项E：甘草",E
中医基础理论,"题干描述：下列说法错误的是
选项A：胃称为“太仓”
选项B：胃有“水谷之海”之称
选项C：脾有“五脏六腑之海”之称
选项D：小肠者，受盛之官
选项E：大肠者，传导之官",C
针灸学,"题干描述：常用于治疗皮肤瘙痒等皮肤病证的腧穴是
选项A：肾俞
选项B：膈俞
选项C：心俞
选项D：肝俞
选项E：脾俞",B
中药学,"题干描述：善于养血敛阴，柔肝止痛，平抑肝阳的药物是
选项A：当归
选项B：熟地黄
选项C：阿胶
选项D：白芍
选项E：何首乌",D
中医基础理论,"题干描述：属于正治的是
选项A：热因热用
选项B：以通治通
选项C：热者寒之
选项D：用热远热
选项E：以补开塞",C
中医儿科学,"题干描述：皮肤黏膜淋巴结综合征的治疗，自初期至后期，始终应注意的是
选项A：化痰散结
选项B：收敛止血
选项C：清气分热
选项D：活血化瘀
选项E：温阳通脉",D
中医内科,"题干描述：肝郁泄泻的主方是
选项A：葛根芩连汤
选项B：藿香正气散
选项C：痛泻要方
选项D：芍药汤
选项E：柴胡疏肝散",C
中医基础理论,"题干描述：五脏阳气的根本是
选项A：肝阳
选项B：心阳
选项C：脾阳
选项D：肺阳
选项E：肾阳",E
中医诊断学,"题干描述：当瘟疫类疾病发生时病室中气味为
选项A：腐臭气
选项B：臭气触人
选项C：尿臊气
选项D：蒜臭气
选项E：烂苹果气",B
中医诊断学,"题干描述：肝火炽盛证的表现应除外下列哪项
选项A：头晕胀痛
选项B：面红目赤
选项C：口干口苦
选项D：胁肋灼痛
选项E：耳鸣如蝉",E
方剂学,"题干描述：大建中汤的功用是
选项A：温中祛寒，补气健脾
选项B：温中散寒，缓急止痛
选项C：温中补虚，降逆止痛
选项D：温中补虚，降逆止呕
选项E：温中补虚，和里缓急",C
中医内科,"题干描述：下列哪一项不是黄疸湿重于热证的特点
选项A：黄疸不甚鲜明
选项B：头重身困
选项C：舌苔黄腻
选项D：胸脘痞闷
选项E：脉濡",C
中医内科,"题干描述：痹证与痿证的鉴别要点首先在于
选项A：肢体活动情况
选项B：有无肌肉萎缩
选项C：痛与不痛
选项D：有无外感
选项E：关节肿与不肿",C
方剂学,"题干描述：十灰散组成药物中含有
选项A：白术
选项B：青黛
选项C：山栀
选项D：枳壳
选项E：蒲黄",C
中医内科,"题干描述：张某，男，20岁。腹痛拒按，烦渴引饮，大便秘结，潮热汗出，小便短黄，舌质红，苔黄燥或黄腻，脉滑数。治宜选用
选项A：通脉四逆汤
选项B：乌头桂枝汤
选项C：当归四逆汤
选项D：大承气汤
选项E：吴茱萸汤",D
中药学,"题干描述：善于治疗血淋、尿血的药物是
选项A：车前子
选项B：泽泻
选项C：石韦
选项D：萆薢
选项E：木通",C
中医儿科学,"题干描述：儿科发病率居于第二位的是
选项A：肺系病证
选项B：心系病证
选项C：肝系病证
选项D：脾系病证
选项E：肾系病证",D
中医内科,"题干描述：张某，男，65岁，有冠心病史6年。今日突然心胸绞痛，胸中有窒息感，心慌，面色苍白，大汗淋漓，四肢厥冷，舌淡少苔，脉疾数无力。此证的治法是
选项A：温补心阳，散寒通脉
选项B：益气活血，通脉止痛
选项C：回阳救逆，益气固脱
选项D：滋阴清火，养心和络
选项E：益气养阴，活血通脉",C
中医基础理论,"题干描述：具有“升举内脏”功能，维持内脏位置相对恒定的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",C
方剂学,"题干描述：防己黄芪汤与当归拈痛汤的组成药物中均含有
选项A：甘草
选项B：白术
选项C：防风
选项D：当归
选项E：桂枝",A
中医诊断学,"题干描述：脉短如豆，滑数有力的脉象是
选项A：促脉
选项B：疾脉
选项C：微脉
选项D：动脉
选项E：短脉",D
中药学,"题干描述：以下除哪项外，均是攻下药的适应证
选项A：饮食积滞
选项B：虚寒泻痢
选项C：血热妄行
选项D：冷积便秘
选项E：大肠燥热",B
中医儿科学,"题干描述：手足口病的好发年龄哪种说法正确
选项A：2岁以下
选项B：3岁以下
选项C：4岁以下
选项D：5岁以下
选项E：6岁以下",D
中医内科,"题干描述：胸痹的辨证，应首辨的要点是
选项A：脉象变化
选项B：外感内伤
选项C：标本虚实
选项D：病情轻重
选项E：寒热虚实",D
中医儿科学,"题干描述：患儿，6个月。近期夜间啼哭，时哭时止，睡喜蜷曲，四肢欠温，吮乳无力，胃纳欠佳，大便溏，舌苔薄白，指纹淡红。其证候是
选项A：心经积热
选项B：脾寒气滞
选项C：肝胃不和
选项D：惊恐伤神
选项E：气血不足",B
中医外科,"题干描述：疖的治疗方法，以下列哪项为主
选项A：散风清热
选项B：泻火饵毒
选项C：凉血活血
选项D：清热解毒
选项E：和营解毒",D
针灸学,"题干描述：以下哪穴不是足太阴脾经的五输穴
选项A：大都
选项B：地机
选项C：商丘
选项D：太白
选项E：隐白",B
中医内科,"题干描述：肺痈溃脓期的治法是
选项A：养阴清肺
选项B：清肺化痰
选项C：养阴补肺
选项D：排脓解毒
选项E：益气养阴",D
中医内科,"题干描述：喘脱危象，宜急服
选项A：回阳救急汤
选项B：苏子降气汤
选项C：参附汤送服黑锡丹
选项D：控涎丹
选项E：紫金丹",C
方剂学,"题干描述：麻子仁丸和济川煎都具有的功用是
选项A：泻热
选项B：行气
选项C：润肠
选项D：滋阴
选项E：养血",C
中医内科,"题干描述：湿热腰痛的特点是
选项A：腰部疼痛，重着而热
选项B：腰痛如刺，痛有定处
选项C：腰部冷痛重着
选项D：腰部隐痛
选项E：腰部酸软无力",A
中药学,"题干描述：治疗温病气分证和疮溃不敛的药物是
选项A：石膏
选项B：夏枯草
选项C：知母
选项D：芦根
选项E：淡竹叶",A
针灸学,"题干描述：治疗局部皮肤麻木或功能减退，常选的拔罐法是
选项A：留罐法
选项B：走罐法
选项C：闪罐法
选项D：刺血拔罐法
选项E：留针拔罐法",C
中医儿科学,"题干描述：治疗麻疹逆证邪毒闭肺证的首选方剂是
选项A：定喘汤
选项B：苏葶丸
选项C：清宁散
选项D：葶苈大枣泻肺汤
选项E：麻杏石甘汤",E
中医诊断学,"题干描述：神志不清，语言重复，声音低微，时断时续称为
选项A：独语
选项B：错语
选项C：狂言
选项D：谵语
选项E：郑声",E
中医外科,"题干描述：下列哪一项为尖锐湿疣的中医病因病机
选项A：湿热秽浊由下焦前阴入侵，阻于膀胱及肝经
选项B：湿热秽浊之邪侵及肝经、下注阴部
选项C：风热毒邪搏于肌肤而生
选项D：秽浊之毒酿生湿热，下注皮肤黏膜
选项E：淫秽疫毒与湿热、风邪杂合所致",D
中医内科,"题干描述：患者男性，65岁，排尿不畅3年，加重1个月，小便点滴而出，小腹胀痛，腰膝酸痛，神疲乏力，畏寒肢冷，舌质淡，苔白，脉沉细无力，应诊为
选项A：淋证
选项B：关格
选项C：少尿
选项D：腰痛
选项E：癃闭",E
中医基础理论,"题干描述：具有“喜燥恶湿”生理特性的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",C
方剂学,"题干描述：麻子仁丸的组成药物中不含
选项A：大黄
选项B：枳实
选项C：当归
选项D：杏仁
选项E：芍药",C
中药学,"题干描述：白头翁多用于治疗
选项A：热毒血痢
选项B：肠痈腹痛
选项C：肺痈胸痛，咳吐脓血
选项D：乳痈肿痛
选项E：热毒壅盛之斑疹不畅或色紫暗",A
针灸学,"题干描述：针灸治疗遗尿，常选的耳穴是
选项A：肾、膀胱、尿道、皮质下
选项B：膀胱、三焦、脾、肺
选项C：尿道、肾、三焦、肺
选项D：内分泌、膀胱、脾、肺
选项E：肾、脾、肺、尿道",A
中医内科,"题干描述：患者男性，40岁，急性发病，发病半日，尿道窘迫疼痛，少腹拘急，腰部绞痛，大便秘结，曾发作二次排尿突然中断。舌质红，苔黄腻，脉弦紧数。应选用的主方为
选项A：石韦散
选项B：八正散
选项C：沉香散
选项D：四妙丸
选项E：大柴胡汤",A
中医外科,"题干描述：下列哪项不是外科辨病的方法
选项A：详询病史
选项B：全面体检
选项C：注重局部
选项D：选用新技术和必要的辅助检查
选项E：综合诊断，治疗得当",E
中医内科,"题干描述：胸痹气阴两虚证，其临床特点是
选项A：胸部刺痛，入夜尤甚
选项B：胸闷隐痛，时作时止
选项C：胸闷如窒，气短喘促
选项D：胸闷气短，畏寒肢冷
选项E：胸痛彻背，感寒痛甚",B
方剂学,"题干描述：当归补血汤重用黄芪为君，意在
选项A：补气生血
选项B：补气固表
选项C：补气托毒
选项D：补气行血
选项E：补气行水",A
中医基础理论,"题干描述：具有司呼吸作用的气是
选项A：元气
选项B：宗气
选项C：营气
选项D：卫气
选项E：脏腑之气",B
方剂学,"题干描述：越鞠丸的君药是
选项A：栀子
选项B：苍术
选项C：川芎
选项D：神曲
选项E：香附",E
中药学,"题干描述：矿石贝壳药的煎法是
选项A：武火急煎
选项B：文火久煎
选项C：武火久煎
选项D：文火略煎
选项E：另煎兑入",B
中药学,"题干描述：具有祛风解表止血功效的药物是
选项A：藁本
选项B：白芷
选项C：羌活
选项D：防风
选项E：荆芥",E
中医诊断学,"题干描述：在按诊中，用指掌稍用力寻抚胸腹、腧穴等部位称为
选项A：触法
选项B：摸法
选项C：按法
选项D：直接叩击法
选项E：间接叩击法",B
中医基础理论,"题干描述：何曰“润下”
选项A：木
选项B：火
选项C：土
选项D：金
选项E：水",E
中医诊断学,"题干描述：下列哪项不是表证必备的特点
选项A：感受外邪所致
选项B：起病急
选项C：病位浅
选项D：病程短
选项E：必发展为里证",E
中医儿科学,"题干描述：患儿，男，2岁。初起发热、流涕、咳嗽，咳嗽以入夜为甚，咳声不扬，尚未发生痉咳，舌苔薄白。治疗首选方剂为
选项A：桑白皮汤
选项B：三拗汤
选项C：沙参麦冬汤
选项D：人参五味子汤
选项E：清燥救肺汤",B
中医内科,"题干描述：胃痛暴作，恶寒喜暖，得温痛减，遇寒加重，口淡不渴，或喜热饮，舌淡苔薄白，脉弦紧。证属
选项A：寒邪客胃证
选项B：饮食伤胃证
选项C：肝气犯胃证
选项D：湿热中阻证
选项E：瘀血停胃证",A
中医儿科学,"题干描述：反复呼吸道感染，肺脾气虚证的表现不包括
选项A：面黄少华
选项B：腰膝酸软
选项C：少气懒言
选项D：自汗多汗
选项E：脉无力，指纹淡",B
中医诊断学,"题干描述：下列哪项是形盛气衰的表现
选项A：体胖能食，肌肉坚实
选项B：体胖食少，神疲乏力
选项C：形瘦能食，舌红苔黄
选项D：形瘦颧红，皮肤干焦
选项E：卧床不起，骨瘦如柴",B
方剂学,"题干描述：甘露消毒丹的组成药物中含有
选项A：茵陈
选项B：青蒿
选项C：茵陈
选项D：青蒿
选项E：茵陈",A
方剂学,"题干描述：猪苓汤中配伍阿胶的用意是
选项A：滋阴补血
选项B：补血止血
选项C：润肺止咳
选项D：养血益气
选项E：滋阴润燥",E
中医儿科学,"题干描述：猩红热的典型舌象为
选项A：地图舌
选项B：红绛舌
选项C：霉酱苔
选项D：镜面舌
选项E：草莓舌",E
中药学,"题干描述：桔梗与贝母都能够治疗的病证是
选项A：肠痈
选项B：乳痈
选项C：疮痈
选项D：肺痈
选项E：瘰疬",D
中医内科,"题干描述：肾虚头痛的特征为
选项A：头昏胀痛
选项B：头痛昏蒙
选项C：头痛如裹
选项D：头痛且空
选项E：头痛而晕",D
中医内科,"题干描述：患者沉默痴呆，语无伦次，静而多喜。其诊断是
选项A：癫证
选项B：狂证
选项C：痛证
选项D：痉证
选项E：中风",A
中医儿科学,"题干描述：治疗风疹邪入气营证的首选方剂是
选项A：银翘散
选项B：白虎汤
选项C：透疹凉解汤
选项D：清气凉营汤
选项E：解肌透痧汤",C
中医内科,"题干描述：下列哪项是血鼓的特征
选项A：腹部部胀满膨大
选项B：嗳气或矢气则舒
选项C：腹臌大如蛙腹
选项D：按之如囊裹水
选项E：常伴下肢浮肿",A
中医诊断学,"题干描述：真寒假热证产生的机理是
选项A：阴盛格阳
选项B：阳盛格阴
选项C：阴不敛阳
选项D：阳不敛阴
选项E：表热里寒",A
中医内科,"题干描述：下列哪一项不是瘀血阻络胁痛的特点
选项A：胁肋刺痛
选项B：胸闷腹胀
选项C：痛有定处
选项D：入夜痛甚
选项E：舌质紫暗",B
中医内科,"题干描述：痫病瘀阻脑络证的治法为
选项A：理气化痰，活血化瘀
选项B：行气解郁，化瘀通络
选项C：活血化瘀，熄风通络
选项D：活血化瘀，开窍醒神
选项E：理气化痰，醒脑通窍",C
中医诊断学,"题干描述：眩晕欲仆，肢体震颤，步履不稳，舌红脉弦有力属于
选项A：血虚生风
选项B：热极生风
选项C：阴虚动风
选项D：肝阳上亢
选项E：肝阳化风",E
中医儿科学,"题干描述：脾肾阳虚泻的治法为
选项A：健脾温阳，助运止泻
选项B：健脾益气，酸甘敛阴
选项C：补肾滋阴，平肝降火
选项D：温补脾肾，固涩止泻
选项E：挽阴回阳，救逆固脱",D
中医儿科学,"题干描述：以下哪一项不属于麻疹初起的临床症状
选项A：发热
选项B：咳嗽
选项C：两目畏光
选项D：咽部有出血性红点
选项E：口腔两颊黏膜近臼齿处可见麻疹黏膜斑",D
中药学,"题干描述：黄芪与茯苓配伍，茯苓能增强黄芪的补气利水作用，这种配伍关系是
选项A：相须
选项B：相使
选项C：相反
选项D：相恶
选项E：相畏",B
中医儿科学,"题干描述：下列不属于内伤咳嗽证的是
选项A：痰热咳嗽证
选项B：痰湿咳嗽证
选项C：气虚咳嗽证
选项D：阴虚咳嗽证
选项E：风寒咳嗽证",E
方剂学,"题干描述：黄土汤的功用是
选项A：温脾散寒，涩肠止泻
选项B：温中散寒，益气健脾
选项C：温阳健脾，益气摄血
选项D：温阳健脾，养血止血
选项E：温肾暖脾，渗湿止泻",D
方剂学,"题干描述：小蓟饮子的组成药物中不包括
选项A：藕节
木通
选项B：当归
蒲黄
选项C：生地
滑石
选项D：栀子
淡竹叶
选项E：大黄
车前子",E
方剂学,"题干描述：四逆汤和理中丸中均含有的药物是
选项A：人参
选项B：大黄
选项C：甘草
选项D：白术
选项E：干姜",E
中医诊断学,"题干描述：小儿口角流涎多属于
选项A：脾气虚弱
选项B：湿热内蕴
选项C：心脾积热
选项D：肝风内动
选项E：胃气虚弱",A
针灸学,"题干描述：痛经实证的针灸治疗宜选取
选项A：中脘、次髎、地机、三阴交
选项B：中极、次髎、地机、三阴交
选项C：关元、足三里、阴陵泉
选项D：关元、足三里、三阴交
选项E：关元、气海、三阴交",B
中药学,"题干描述：均善于治疗肺痈的药物是
选项A：金银花、连翘
选项B：生地黄、玄参
选项C：鱼腥草、芦根
选项D：牡丹皮、赤芍
选项E：地骨皮、白薇",C
方剂学,"题干描述：天王补心丹中配伍茯苓意在
选项A：宁心
选项B：健脾
选项C：消痰
选项D：渗湿
选项E：利水",A
方剂学,"题干描述：由黄连、半夏、瓜蒌组成的方剂是
选项A：半夏泻心汤
选项B：大陷胸汤
选项C：滚痰丸
选项D：小陷胸汤
选项E：清气化痰丸",D
中医基础理论,"题干描述：具有“主治节”功能的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",D
中药学,"题干描述：下列哪组药物是辛凉解表药
选项A：薄荷、桑叶、荆芥
选项B：蝉衣、柴胡、菊花
选项C：柴胡、淡豆豉、防风
选项D：牛蒡子、苍耳子、升麻
选项E：蔓荆子、辛夷、葛根",B
方剂学,"题干描述：方中芍药与甘草配伍以和里缓急的方剂是
选项A：阳和汤
选项B：逍遥散
选项C：桂枝汤
选项D：小建中汤
选项E：痛泻要方",D
中医基础理论,"题干描述：“决渎之官”指的是
选项A：胆
选项B：胃
选项C：小肠
选项D：三焦
选项E：膀胱",D
中药学,"题干描述：在“十八反”中，下列除哪味药物外均与乌头相反
选项A：玄参
选项B：白及
选项C：贝母
选项D：瓜蒌
选项E：半夏",A
针灸学,"题干描述：治疗暴病耳聋，鸣声隆隆，伴畏寒，发热，脉浮，宜在翳风、听会、侠溪、中渚基础上，加取
选项A：太冲、丘墟
选项B：外关、合谷
选项C：风门、肺俞
选项D：丰隆、脾俞
选项E：足三里、三阴交",B
针灸学,"题干描述：耳后两乳突之间的骨度分寸是
选项A：4寸
选项B：6寸
选项C：8寸
选项D：9寸
选项E：12寸",D
中药学,"题干描述：青皮与陈皮的功效区别是
选项A：陈皮理脾胃之气，消积化滞；青皮理肝气，散寒止痛
选项B：陈皮理脾胃之气，燥湿化痰；青皮理肝气，活血止痛
选项C：陈皮理脾胃之气，降气化痰；青皮理肝气，消积化滞
选项D：陈皮理脾胃之气，降气化痰；青皮理肝气，活血调经
选项E：陈皮理脾胃之气，燥湿化痰；青皮理肝气，消积化滞",E
中医内科,"题干描述：治疗痰热郁肺型肺胀的首选方剂是
选项A：清金化痰汤
选项B：越婢加半夏汤
选项C：小青龙加石膏汤
选项D：麻杏石甘汤
选项E：定喘汤",B
中医诊断学,"题干描述：外感热病，气分热盛的脉象是
选项A：浮数
选项B：滑数
选项C：洪数
选项D：濡数
选项E：弦数",C
中医基础理论,"题干描述：感邪后缓慢发病是
选项A：徐发
选项B：合病
选项C：复发
选项D：感而即发
选项E：伏而后发",A
中药学,"题干描述：具有健脾补中，升阳举陷，益卫固表，托毒生肌，利水消肿功效的药物是
选项A：人参
选项B：西洋参
选项C：党参
选项D：太子参
选项E：黄芪",E
针灸学,"题干描述：关于十二经别的作用，描述不正确的是
选项A：加强了十二经脉的内外联系
选项B：对十二经气血有蓄积和渗灌调节作用
选项C：加强了经脉所属络的脏腑在体腔深部的联系
选项D：补充了十二经脉在体内外循行的不足
选项E：扩大了经穴的主治范围",B
针灸学,"题干描述：某女，20岁，食海鲜后皮肤出现大小不等，形状不一的风团，高起皮肤，边界清楚，色红，瘙痒，伴恶心,，肠鸣泄泻，舌红，苔黄腻，脉滑数。除曲池、合谷、血海、膈俞、三阴交外，应加取
选项A：外关、风池
选项B：足三里、天枢
选项C：三阴交、天枢
选项D：足三里、大横
选项E：三阴交、风池",B
中医儿科学,"题干描述：抽动障碍的病因为
选项A：脏腑阴阳失调
选项B：五志过极，风痰内蕴
选项C：元气未充，心神怯弱
选项D：肝常有余，肝风内动
选项E：脾虚肝旺，肝风扰动",B
中药学,"题干描述：人参入汤剂的用法是
选项A：先煎
选项B：后下
选项C：包煎
选项D：另煎
选项E：泡服",D
中医儿科学,"题干描述：小儿咳嗽的主要内因是
选项A：肺脾虚弱
选项B：肝肾阴虚
选项C：肺肾两虚
选项D：肝脾不和
选项E：心脾两虚",A
中医内科,"题干描述：治疗悬饮饮停胸胁证宜选用
选项A：柴枳半夏汤
选项B：香附旋覆花汤
选项C：椒目瓜蒌汤合十枣汤
选项D：沙参麦冬汤合泻白散
选项E：苓桂术甘汤合小半夏加茯苓汤",C
