question_number,category,question,correct_answer,model_answer,is_correct
94,中医基础理论,"题干描述：“阴胜则阳病”说明了阴阳之间的何种关系
选项A：阴阳交感
选项B：阴阳互根
选项C：阴阳对立
选项D：阴阳消长
选项E：阴阳转化",C,选项C：阴阳对立,False
95,中医诊断学,"题干描述：胸胁肋间饱满，咳唾引痛此属
选项A：饮留胃肠
选项B：饮停胸胁
选项C：饮溢四肢
选项D：饮停于肺
选项E：肝气郁结",B,D、饮停于肺,False
96,中医诊断学,"题干描述：以下不属代脉所主病证的是
选项A：脏气衰微
选项B：痰湿
选项C：疼痛
选项D：惊恐
选项E：跌仆损伤",B,选项E：跌仆损伤,False
97,中医儿科学,"题干描述：患儿，半岁。骤闻异声后，夜里啼哭1个月，每夜发作3～5分钟。其病因是
选项A：感受外邪
选项B：伤乳因素
选项C：惊恐因素
选项D：环境污染
选项E：胎产因素",C,A、感受外邪,False
98,中医儿科学,"题干描述：阴虚咳嗽证见
选项A：咳嗽反复不已，痰白清稀，气短懒言，自汗畏寒
选项B：干咳无痰，口渴咽干，咽痒声嘶，舌红少苔
选项C：咳嗽不爽，痰黄黏稠，不易咯出，舌苔黄腻
选项D：咳嗽频作，声重咽痒，咳痰清稀，舌苔薄白
选项E：咳嗽重浊，痰多壅盛，胸闷纳呆，舌苔白腻",B,"题干描述：阴虚咳嗽证见
选项A、C、D和E中都可能与阴虚咳嗽相关。但是，具体诊断需要根据病人的其他症状和身体状况进行详细分析。因此，不能简单地将问题限定在选项A、B、C、D或E中。",False
99,中医诊断学,"题干描述：燥淫证的特点是
选项A：恶寒发热，无汗头痛
选项B：发热恶风，头痛汗出
选项C：发热汗出，口渴乏力
选项D：胸脘痞闷，口腻不渴
选项E：干咳少痰，口渴饮水",E,D：胸脘痞闷，口腻不渴,False
100,中药学,"题干描述：滋补药的煎法是
选项A：武火急煎
选项B：文火久煎
选项C：武火久煎
选项D：文火略煎
选项E：另煎兑入",B,B: 文火久煎,False
101,中医内科,"题干描述：患者由情志异常、精神刺激而发作，突然昏倒，不知人事，或四肢厥冷，呼吸气粗，口噤握拳，舌苔薄白，脉伏或沉弦。证属
选项A：血厥实证
选项B：痰厥
选项C：气厥虚证
选项D：血厥虚证
选项E：气厥实证",E,选项C：气厥虚证,False
102,中医诊断学,"题干描述：脉象八要素不包括的是
选项A：脉位
选项B：脉率
选项C：脉伏
选项D：脉长
选项E：脉势",C,选项E：脉势 因为脉势是中医诊断中的一个概念，而不是八要素之一。八要素包括脉位、脉率、脉伏、脉长、脉浮、脉洪和脉滑。,False
103,方剂学,"题干描述：槐花散的功用是
选项A：清肠止血，养阴清热
选项B：养血止血，清肠祛风
选项C：益气健脾，养血止血
选项D：清肠止血，疏风行气
选项E：养阴清热，凉血止血",D,A、清肠止血，养阴清热,False
104,中医基础理论,"题干描述：舌与其他脏腑经络的关系中，上达咽喉，与舌根相连的是
选项A：肝系
选项B：心系
选项C：肾系
选项D：肺系
选项E：脾系",D,C、肾系,False
105,中医外科,"题干描述：中医的血瘤，相当于西医的
选项A：血管瘤
选项B：皮脂腺囊肿
选项C：下肢静脉曲张
选项D：脂肪瘤
选项E：多发性神经纤维瘤",A,选项A：血管瘤,False
106,中医外科,"题干描述：发病急骤，漫肿宣浮的是
选项A：热肿
选项B：寒肿
选项C：风肿
选项D：湿肿
选项E：痰肿",C,D、湿肿,False
107,中医诊断学,"题干描述：斑与疹的主要区别是
选项A：是否色红成片
选项B：是否时现时隐
选项C：是否抚之碍手
选项D：是否压之褪色
选项E：是否伴有身热",C,选项A、B、D、E中没有正确答案，因为斑和疹在中医学上的概念并不完全一致，且表现形式也很复杂。但是，可以简单地说，斑通常是长期存在且无色红成片、时常隐隐出现、抚之不碍手、压之不褪色，而疹则通常是突然出现、较短期存在、可能伴有身热等症状。,False
108,中医儿科学,"题干描述：患儿，男，3岁。因右侧腮部肿胀2天就诊。现证见右侧腮部肿痛，恶寒发热，头痛，舌质红，苔薄白微黄，脉浮数。治疗首选方剂是
选项A：柴胡葛根汤
选项B：普济消毒饮
选项C：仙方活命饮
选项D：五味消毒饮
选项E：荆防败毒散",A,选项A：柴胡葛根汤,False
109,中药学,"题干描述：朱砂能治疗心悸失眠，具有重镇安神之功，其归经是
选项A：归心经
选项B：归肝经
选项C：归脾经
选项D：归肺经
选项E：归肾经",A,选项B：归肝经,False
110,中医内科,"题干描述：患者，男性，43岁，身热，微恶风，汗少，头昏重胀而痛，心烦口渴，胸闷恶心，小便短赤，舌苔薄黄腻，脉濡数。此患者应诊断为
选项A：感冒风寒
选项B：感冒风热
选项C：感冒暑湿
选项D：时行感冒
选项E：体虚感冒",C,选项B：感冒风热,False
111,中医儿科学,"题干描述：与哮喘发病关系最密切的脏腑是
选项A：肺心肝
选项B：肺脾心
选项C：肺肝脾
选项D：肝脾肾
选项E：肺脾肾",E,A、肺,False
112,中药学,"题干描述：治疗水肿胀满，虫积腹痛，首选药物是
选项A：大黄
选项B：牵牛子
选项C：番泻叶
选项D：巴豆
选项E：芒硝",B,选项C：番泻叶,False
113,中医儿科学,"题干描述：水痘愈后可见
选项A：脱皮
选项B：脱屑
选项C：色素沉着
选项D：瘢痕
选项E：结痂后不留疤痕",E,D、瘢痕,False
114,中医基础理论,"题干描述：疾病发生的重要条件是
选项A：正气
选项B：正气不足
选项C：邪气
选项D：正邪交争
选项E：邪气损正",C,D、正邪交争,False
115,中药学,"题干描述：善于治疗梅毒或因梅毒服用汞剂而致肢体拘挛的药物是
选项A：鱼腥草
选项B：土茯苓
选项C：败酱草
选项D：蒲公英
选项E：地肤子",B,选项B：土茯苓,False
116,中医基础理论,"题干描述：属于“水”的官是
选项A：目
选项B：舌
选项C：口
选项D：鼻
选项E：耳",E,选项D：鼻,False
117,方剂学,"题干描述：藿香正气散的功用是
选项A：解表化湿，理气和中
选项B：宣畅气机，清利湿热
选项C：清热泻火，利水通淋
选项D：利湿消肿，理气健脾
选项E：清热化湿，理气和中",A,选项A、B、D、E 都是藿香正气散的功用之一。但最符合题干描述的应该是选项B：宣畅气机，清利湿热。因为解表化湿（选项A）和清热泻火（选项C）更多地关注于消除外毒，而理气和中（选项E）则更多地关注于调节内气。藿香正气散的主要功用是宣畅气机，清利湿热，这就是解决疾病根源所需的。,False
118,中医儿科学,"题干描述：硬肿症的内因是
选项A：肾阳虚衰
选项B：脾肾阳虚
选项C：肺脾气虚
选项D：肝肾阴虚
选项E：脾肾两虚",A,选项A：肾阳虚衰,False
119,方剂学,"题干描述：大秦艽汤的功用是
选项A：疏风养血，清热除湿
选项B：祛风胜湿，益气养血
选项C：祛风化痰，通络止痉
选项D：疏风清热，养血活血
选项E：祛风除湿，活血止痛",D,选项A：疏风养血，清热除湿,False
120,针灸学,"题干描述：手三里位于阳溪与曲池连线上，肘横纹下
选项A：1寸
选项B：2寸
选项C：3寸
选项D：4寸
选项E：5寸",B,A: 1寸,False
121,中医儿科学,"题干描述：病毒性心肌炎痰淤阻络证的治法
选项A：清热解毒，宁心复脉
选项B：豁痰化瘀，宁心通络
选项C：清热化湿，宁心通络
选项D：益气养阴，宁心复脉
选项E：温振心阳，宁心安神",B,选项B：豁痰化瘀，宁心通络,False
122,中医儿科学,"题干描述：患儿，9岁。罹患心肌炎2周，寒热起伏，胸闷憋气，心悸气短，肌肉酸痛，腹痛腹泻，倦怠乏力，恶心欲吐，舌质红，苔黄腻，脉濡数。其病机是
选项A：风热犯心
选项B：湿热侵心
选项C：气阴亏虚
选项D：心阳虚弱
选项E：痰瘀阻络",B,选项B：湿热侵心,False
123,针灸学,"题干描述：位于第1掌骨中点桡侧，赤白肉际处的腧穴是
选项A：太渊
选项B：孔最
选项C：鱼际
选项D：列缺
选项E：偏历",C,选项D：列缺,False
124,中医诊断学,"题干描述：症见身热夜甚，躁扰不宁，便血，舌质深绛，脉红数，属于
选项A：血分证
选项B：营分证
选项C：厥阴病征
选项D：少阴病证
选项E：气分证",A,A: 血分证,False
125,中医诊断学,"题干描述：以下哪项不是燥淫证候的表现
选项A：皮肤干燥
选项B：干咳少痰
选项C：渴不欲饮
选项D：大便干燥
选项E：小便短黄",C,选项E：小便短黄 不是燥淫证候的表现。其中，A、B、C、D都可能是燥淫证候的表现。,False
126,中药学,"题干描述：在“十八反”中，下列除哪味药物外均与甘草相反
选项A：大戟
选项B：海藻
选项C：贝母
选项D：芫花
选项E：甘遂",C,选项E：甘遂,False
127,中医儿科学,"题干描述：小儿“纯阳”之体的含义是
选项A：纯阳无阴
选项B：阳常有余
选项C：阴亏阳亢
选项D：发育迅速
选项E：肝常有余",D,选项A：纯阳无阴,False
128,中医儿科学,"题干描述：百日咳初咳期的治法是
选项A：疏风祛邪，宣肺止咳
选项B：泻肺清热，涤痰镇咳
选项C：养阴润肺，健脾益气
选项D：清热解毒，利湿化痰
选项E：宣肺散邪，清热化痰",A,选项A：疏风祛邪，宣肺止咳,False
129,针灸学,"题干描述：有关晕针的处理方法，叙述不正确的是
选项A：立即停止针刺，将针全部起出
选项B：使患者平卧，头部抬高
选项C：宽衣解带，注意保暖
选项D：予以饮温开水或糖水
选项E：可刺人中、素髎、内关、足三里等穴",B,选项A：立即停止针刺，将针全部起出 这句话不正确。在晕厥发作期间，如果发现有针刺时，应该保持原位，不要随意移动或取出针刺，以免引起新的症状或损伤器官。,False
130,中医诊断学,"题干描述：下列哪项不是里证的临床表现
选项A：恶寒发热
选项B：口渴饮冷
选项C：胃痛喜按
选项D：舌质红苔黄
选项E：脉洪大",A,选项E：脉洪大 不是里证的临床表现。里证主要包括恶寒发热、口渴饮冷、胃痛喜按和舌质红苔黄这四种表现，而脉洪大是脏虚的一种表现。,False
131,中医儿科学,"题干描述：患儿，9岁。反复呼吸道感染，诉恶风、恶寒，面色少华，四肢不温，多汗易汗，舌淡红，苔薄白，脉无力。其治法是
选项A：调和营卫，益气固表
选项B：温补肾阳，健脾益气
选项C：养阴润肺，益气健脾
选项D：补肺固表，健脾益气
选项E：健脾益气，养阴益胃",A,选项D：补肺固表，健脾益气,False
132,中医内科,"题干描述：噎膈之证的发病机理主要是
选项A：脾胃俱伤
选项B：肺胃两伤
选项C：气血郁结
选项D：本虚标实
选项E：气痰瘀交结，阻于食道、胃脘",E,选项A：脾胃俱伤,False
133,中医儿科学,"题干描述：口疮虚火上浮证的治法是
选项A：疏风散火，清热解毒
选项B：消食导滞，清热解毒
选项C：清心凉血，泻火解毒
选项D：疏风解表，泻火解毒
选项E：滋阴降火，引火归原",E,选项D：疏风解表，泻火解毒,False
134,中医基础理论,"题干描述：寒邪的性质和致病特点是
选项A：凝滞
选项B：黏滞
选项C：数变
选项D：重着
选项E：升散",A,A、凝滞,False
135,中医基础理论,"题干描述：有君相安位关系的两脏是
选项A：心与肺
选项B：心与肾
选项C：肺与脾
选项D：脾与肝
选项E：肺与肝",B,错误的选项，正确答案是A：心与肺。这两脏在中医理论中有关系，称之为君相安位。,False
136,中医内科,"题干描述：与水肿关系最为密切的脏腑是
选项A：肺、脾、肾
选项B：肺、胃、肾
选项C：心、脾、肾
选项D：肝、脾、肾
选项E：心、肝、肾",A,选项D：肝、脾、肾,False
137,中医外科,"题干描述：适用于一切确已成脓者的是
选项A：砭镰法
选项B：切开法
选项C：挑治法
选项D：挂线法
选项E：结扎法",B,选项A：砭镰法,False
138,中医诊断学,"题干描述：久病小便频数，色清量多，夜间明显者多见于
选项A：膀胱湿热
选项B：热盛伤津
选项C：中气下陷
选项D：久病肾虚
选项E：以上都不是",D,D：久病肾虚,False
139,中医外科,"题干描述：患者左前臂部有一肿块，呈扁平隆起，质地柔软，状如海绵，皮色略紫，按之肿块可缩小，据此可诊断为
选项A：气瘤
选项B：脂瘤
选项C：筋瘤
选项D：血瘤
选项E：肉瘤",D,D: 血瘤,False
140,方剂学,"题干描述：方中芍药与桂枝配伍以调和营卫的方剂是
选项A：阳和汤
选项B：逍遥散
选项C：桂枝汤
选项D：小建中汤
选项E：痛泻要方",C,B: 逍遥散,False
141,中医内科,"题干描述：大肠癌瘀毒内阻证的治疗方剂
选项A：少腹逐瘀汤
选项B：复元活血汤
选项C：膈下逐瘀汤
选项D：血府逐瘀汤
选项E：桃核承气汤",C,选项C：膈下逐瘀汤,False
142,中药学,"题干描述：穿山甲兼能治疗的病证是
选项A：肠燥便秘
选项B：食积胀痛
选项C：血虚经闭
选项D：痛经下乳
选项E：热病神昏",D,选项C、血虚经闭,False
143,方剂学,"题干描述：生脉散适用于
选项A：气阴两伤，久咳自汗者
选项B：疮疡溃后，久不收口者
选项C：阴虚火旺，骨蒸盗汗者
选项D：虚火灼金，咳嗽咯血者
选项E：虚劳肺萎，干咳无痰者",A,选项A、D：生脉散适用于气阴两伤，久咳自汗者以及虚火灼金，咳嗽咯血者。,False
144,中药学,"题干描述：具有镇惊安神，平肝潜阳功效的药物是
选项A：石菖蒲
选项B：远志
选项C：龙骨
选项D：酸枣仁
选项E：合欢皮",C,选项A：石菖蒲,False
145,中医内科,"题干描述：患者精神抑郁，表情淡漠，神志痴呆，语无伦次，不思饮食，舌苔腻，脉弦滑。其证候是
选项A：肝气郁结
选项B：痰气郁结
选项C：痰火上扰
选项D：风痰闭阻
选项E：痰浊壅塞",B,选项A：肝气郁结,False
146,中药学,"题干描述：下列药物中可用于治疗巅顶头痛的是
选项A：藁本
选项B：防风
选项C：细辛
选项D：辛夷
选项E：荆芥",A,A、藁本,False
147,中医诊断学,"题干描述：真寒假热的面色是
选项A：满面通红
选项B：浮红如妆
选项C：面色紫暗
选项D：面呈青色
选项E：面呈黑色",B,A: 满面通红,False
148,中药学,"题干描述：下列哪项主要是概括药物的药性和作用
选项A：归经
选项B：四气五味
选项C：升降浮沉
选项D：毒性
选项E：配伍七情",B,选项B：四气五味,False
149,中药学,"题干描述：薄荷入汤剂宜
选项A：先煎
选项B：冲服
选项C：后下
选项D：另煎
选项E：布包煎",C,选项B：冲服,False
150,中医儿科学,"题干描述：儿童多动症，其病在肝者，临床证候是
选项A：易于冲动，好动难静，容易发怒，常不能自控
选项B：兴趣多变，做事有头元尾，记忆力差
选项C：脑失精明，学习成绩低下，记忆力欠佳，或有遗尿、腰酸乏力
选项D：注意力不集中，情绪不稳定，多梦烦躁
选项E：神思涣散，活动过多，动作笨拙",A,"A、易于冲动，好动难静，容易发怒，常不能自控
D、注意力不集中，情绪不稳定，多梦烦躁",False
151,方剂学,"题干描述：连朴饮的功用是
选项A：解表化湿，理气和中
选项B：宣畅气机，清利湿热
选项C：清热泻火，利水通淋
选项D：利湿消肿，理气健脾
选项E：清热化湿，理气和中",E,"选项A、D、E中，最符合连朴饮的功用是：

选项A：解表化湿，理气和中
选项D：利湿消肿，理气健脾
选项E：清热化湿，理气和中

这三个选项都包含了连朴饮的主要功能之一，即解表化湿，但是它们还有细微的区别。选项A和选项E都提到了理气和中，而选项D则提到了利湿消肿和健脾，这些都是连朴饮在治疗水湿、胃脏等方面的作用。因此，可以认为选项A、D和E都有一定程度上描述了连朴饮的功能，但是选项D更加具体地描述了它在治疗水肿和健脾方面的作用。",False
152,中医儿科学,"题干描述：小儿反复呼吸道感染病位主要在肺，常涉及的脏腑是
选项A：脾肾
选项B：心肝
选项C：脾胃
选项D：肝肾
选项E：心肾",A,选项D：肝肾,False
153,方剂学,"题干描述：治疗气阴两亏之肺痿，宜用
选项A：玉液汤
选项B：炙甘草汤
选项C：麦门冬汤
选项D：养阴清肺汤
选项E：清燥救肺汤",B,D：养阴清肺汤,False
154,中医基础理论,"题干描述：手厥阴经分布在
选项A：上肢内侧前缘
选项B：上肢外侧前缘
选项C：上肢内侧后缘
选项D：上肢内侧中线
选项E：上肢外侧后缘",D,A、上肢内侧前缘,False
155,中药学,"题干描述：善于治疗风热音哑，肝热目赤，小儿夜啼的药物是
选项A：薄荷
选项B：柴胡
选项C：葛根
选项D：桑叶
选项E：蝉蜕",E,选项A：薄荷,False
156,中医儿科学,"题干描述：抽动障碍阴虚风动证的治法为
选项A：滋阴潜阳，柔肝熄风
选项B：补益肝肾，平肝熄风
选项C：滋阴潜阳，镇肝熄风
选项D：育阴潜阳，滋肾养肝
选项E：滋阴养血，柔肝熄风",A,选项C：滋阴潜阳，镇肝熄风,False
157,中医内科,"题干描述：头晕目眩，视物旋转不定，甚则不能站立，耳鸣，但无神志异常的表现。此为
选项A：痫证
选项B：眩晕
选项C：厥证
选项D：昏迷
选项E：中风",B,选项B：眩晕,False
158,方剂学,"题干描述：参苏饮与败毒散二方组成中均含有的药物是
选项A：半夏
苏叶
选项B：羌活
独活
选项C：柴胡
川芎
选项D：木香
枳壳
选项E：前胡
茯苓",E,选项A：半夏、苏叶,False
159,中医内科,"题干描述：郁病痰气郁结证的治疗宜选用
选项A：柴胡疏肝散
选项B：丹栀逍遥散
选项C：半夏厚朴汤
选项D：甘麦大枣汤
选项E：龙胆泻肝汤",C,选项B：丹栀逍遥散,False
160,中医儿科学,"题干描述：腹部膨大，肢体瘦弱，发稀，额上青筋显现，多为
选项A：积滞
选项B：厌食
选项C：疳积
选项D：泄泻
选项E：五迟",C,A、积滞,False
161,中医内科,"题干描述：下列不是外感腰痛的致病病邪的是
选项A：风
选项B：寒
选项C：湿
选项D：热
选项E：燥",E,D: 热,False
162,中药学,"题干描述：下列除哪味药物外，均是妊娠禁用药物
选项A：牵牛
选项B：桃仁
选项C：巴豆
选项D：莪术
选项E：水蛭",B,E: 水蛭,False
163,中药学,"题干描述：可以治疗虚寒气滞，久泻不止的药物是
选项A：芡实
选项B：赤石脂
选项C：莲子
选项D：浮小麦
选项E：肉豆蔻",E,选项A：芡实,False
164,针灸学,"题干描述：被称为“阳脉之海”的是
选项A：带脉
选项B：督脉
选项C：冲脉
选项D：阳维脉
选项E：阳脉",B,选项D：阳维脉,False
165,中医儿科学,"题干描述：患儿，2岁4个月。平素形体消瘦，面色萎黄，乏力食少，近日过食甜点后，进食更少，且稍食则饱胀，腹满喜按，大便溏、酸臭，夹有不消化食物，舌淡红，苔白腻，指纹淡滞。治疗应首选
选项A：保和丸
选项B：消乳丸
选项C：健脾丸
选项D：八珍汤
选项E：肥儿丸",C,"根据患儿的症状描述，包括面色萎黄、乏力食少、腹满喜按、大便溏、酸臭、夹有不消化食物等，这种情况可能是脾胃虚弱、肝脾瘀阻或胃肠通道发作等原因。因此，治疗应首选的方案是：

选项C：健脾丸",False
166,中医外科,"题干描述：下列哪项不是外科局部辨证的主要内容
选项A：辨肿
选项B：辨痛
选项C：辨痒
选项D：辨脓
选项E：辨气血",E,E: 辨气血,False
167,中药学,"题干描述：具有疏散风热，清利头目之功效的药物是
选项A：葛根
选项B：浮萍
选项C：升麻
选项D：蔓荆子
选项E：淡豆豉",D,选项A：葛根,False
168,中医诊断学,"题干描述：肾在舌上分属部位是
选项A：舌尖
选项B：舌中
选项C：舌根
选项D：舌边
选项E：舌底",C,选项D：舌边,False
169,中医外科,"题干描述：脱肛相当于西医学的
选项A：肛裂
选项B：直肠脱垂
选项C：刚漏
选项D：锁肛痔
选项E：以上都不是",B,E: 以上都不是,False
170,中医儿科学,"题干描述：抽动障碍脾虚痰聚证首选方剂为
选项A：暖肝理脾汤
选项B：十味温胆汤
选项C：大定风珠
选项D：固真汤
选项E：六君子汤",B,A、暖肝理脾汤,False
171,中药学,"题干描述：既能行气宽中安胎，又能解表散寒、解鱼蟹毒的药物是
选项A：砂仁
选项B：黄芩
选项C：紫苏
选项D：白术
选项E：豆蔻",C,选项B：黄芩,False
172,中医儿科学,"题干描述：胎怯的关键病机是
选项A：脾肾两虚
选项B：肺肾两虚
选项C：肝肾不足
选项D：肺脾两虚
选项E：五脏不足",A,选项A：脾肾两虚,False
173,中医内科,"题干描述：下列选项中，不属于痴呆诊断依据的是
选项A：无理由地欣快，易于激动或暴怒
选项B：精神错乱，语无伦次，静而多喜
选项C：记忆力减退，理解力下降
选项D：性情孤僻，表情淡漠，语言重复
选项E：抽象思维能力下降",B,选项D：性情孤僻，表情淡漠，语言重复,False
174,针灸学,"题干描述：下列各组中，属于原络配穴的是
选项A：大陵、内关
选项B：内关、外关
选项C：太渊、合谷
选项D：神门、支正
选项E：太白、冲阳",D,A: 大陵、内关,False
175,中医内科,"题干描述：肾癌脾肾两虚证的治法是
选项A：行气散结
选项B：益气养阴
选项C：温阳益精
选项D：滋肾养肝
选项E：健脾益肾，软坚散结",E,E: 健脾益肾，软坚散结,False
176,针灸学,"题干描述：与上牙痛关系最密切的经脉是
选项A：足阳明胃经
选项B：手少阳三焦经
选项C：手阳明大肠经
选项D：手太阳小肠经
选项E：足少阳胆经",A,选项B、手少阳三焦经,False
177,中医基础理论,"题干描述：属于“金”的体是
选项A：筋
选项B：脉
选项C：肉
选项D：皮
选项E：骨",D,B、脉,False
178,中医内科,"题干描述：左某，男，42岁。患慢性肝炎十余年。近一周来出现腹胀大，按之不坚，胁下胀满疼痛，纳食减少，食后作胀，嗳气不爽，小便短少，苔白腻，脉弦。治宜选用
选项A：柴胡疏肝散
选项B：五苓散
选项C：茵陈蒿汤
选项D：调营饮
选项E：中满分消丸",A,选项A：柴胡疏肝散,False
179,中医基础理论,"题干描述：肾在志为
选项A：怒
选项B：喜
选项C：思
选项D：悲
选项E：恐",E,A: 怒,False
180,中医基础理论,"题干描述：属于“火”的志是
选项A：怒
选项B：喜
选项C：思
选项D：悲
选项E：恐",B,A: 怒,False
181,方剂学,"题干描述：四逆汤与当归四逆汤二方组成中均含有的药物是
选项A：当归
选项B：附子
选项C：桂枝
选项D：干姜
选项E：甘草",E,选项B、C、D：附子、桂枝、干姜。四逆汤与当归四逆汤都是中医的常用方剂，它们均含有附子、桂枝和干姜，而甘草并不是这两种方剂的共同成分。,False
182,中医基础理论,"题干描述：下列说法错误的是
选项A：胃称为“太仓”
选项B：胃有“水谷之海”之称
选项C：脾有“五脏六腑之海”之称
选项D：小肠者，受盛之官
选项E：大肠者，传导之官",C,选项A：胃称为“太仓”是错误的。正确答案是胃被称为“太阳宫”。,False
183,针灸学,"题干描述：常用于治疗皮肤瘙痒等皮肤病证的腧穴是
选项A：肾俞
选项B：膈俞
选项C：心俞
选项D：肝俞
选项E：脾俞",B,选项B：膈俞,False
184,中药学,"题干描述：善于养血敛阴，柔肝止痛，平抑肝阳的药物是
选项A：当归
选项B：熟地黄
选项C：阿胶
选项D：白芍
选项E：何首乌",D,选项A：当归,False
185,中医基础理论,"题干描述：属于正治的是
选项A：热因热用
选项B：以通治通
选项C：热者寒之
选项D：用热远热
选项E：以补开塞",C,选项A：热因热用,False
186,中医儿科学,"题干描述：皮肤黏膜淋巴结综合征的治疗，自初期至后期，始终应注意的是
选项A：化痰散结
选项B：收敛止血
选项C：清气分热
选项D：活血化瘀
选项E：温阳通脉",D,选项C、D：清气分热和活血化瘀,False
187,中医内科,"题干描述：肝郁泄泻的主方是
选项A：葛根芩连汤
选项B：藿香正气散
选项C：痛泻要方
选项D：芍药汤
选项E：柴胡疏肝散",C,选项A：葛根芩连汤,False
188,中医基础理论,"题干描述：五脏阳气的根本是
选项A：肝阳
选项B：心阳
选项C：脾阳
选项D：肺阳
选项E：肾阳",E,D、肺阳,False
189,中医诊断学,"题干描述：当瘟疫类疾病发生时病室中气味为
选项A：腐臭气
选项B：臭气触人
选项C：尿臊气
选项D：蒜臭气
选项E：烂苹果气",B,A、腐臭气,False
190,中医诊断学,"题干描述：肝火炽盛证的表现应除外下列哪项
选项A：头晕胀痛
选项B：面红目赤
选项C：口干口苦
选项D：胁肋灼痛
选项E：耳鸣如蝉",E,选项E：耳鸣如蝉 不是肝火炽盛证的表现应除外。,False
191,方剂学,"题干描述：大建中汤的功用是
选项A：温中祛寒，补气健脾
选项B：温中散寒，缓急止痛
选项C：温中补虚，降逆止痛
选项D：温中补虚，降逆止呕
选项E：温中补虚，和里缓急",C,A、温中祛寒，补气健脾,False
192,中医内科,"题干描述：下列哪一项不是黄疸湿重于热证的特点
选项A：黄疸不甚鲜明
选项B：头重身困
选项C：舌苔黄腻
选项D：胸脘痞闷
选项E：脉濡",C,选项A：黄疸不甚鲜明，不是黄疸湿重于热证的特点。其他选项都是相应特点。,False
193,中医内科,"题干描述：痹证与痿证的鉴别要点首先在于
选项A：肢体活动情况
选项B：有无肌肉萎缩
选项C：痛与不痛
选项D：有无外感
选项E：关节肿与不肿",C,"选项A：肢体活动情况
选项B：有无肌肉萎缩
选项C：痛与不痛
选项D：无外感（因为痹证和痿证都是内部病因导致的，没有外部因素）
选项E：无关系（关节肿与不肿对于鉴别痹证和痿证没有重要意义）",False
194,方剂学,"题干描述：十灰散组成药物中含有
选项A：白术
选项B：青黛
选项C：山栀
选项D：枳壳
选项E：蒲黄",C,选项A：白术,False
195,中医内科,"题干描述：张某，男，20岁。腹痛拒按，烦渴引饮，大便秘结，潮热汗出，小便短黄，舌质红，苔黄燥或黄腻，脉滑数。治宜选用
选项A：通脉四逆汤
选项B：乌头桂枝汤
选项C：当归四逆汤
选项D：大承气汤
选项E：吴茱萸汤",D,选项C：当归四逆汤,False
196,中药学,"题干描述：善于治疗血淋、尿血的药物是
选项A：车前子
选项B：泽泻
选项C：石韦
选项D：萆薢
选项E：木通",C,选项A：车前子,False
197,中医儿科学,"题干描述：儿科发病率居于第二位的是
选项A：肺系病证
选项B：心系病证
选项C：肝系病证
选项D：脾系病证
选项E：肾系病证",D,D、脾系病证,False
198,中医内科,"题干描述：张某，男，65岁，有冠心病史6年。今日突然心胸绞痛，胸中有窒息感，心慌，面色苍白，大汗淋漓，四肢厥冷，舌淡少苔，脉疾数无力。此证的治法是
选项A：温补心阳，散寒通脉
选项B：益气活血，通脉止痛
选项C：回阳救逆，益气固脱
选项D：滋阴清火，养心和络
选项E：益气养阴，活血通脉",C,选项A：温补心阳，散寒通脉,False
199,中医基础理论,"题干描述：具有“升举内脏”功能，维持内脏位置相对恒定的脏是
选项A：肝
选项B：心
选项C：脾
选项D：肺
选项E：肾",C,选项D：肺,False
200,方剂学,"题干描述：防己黄芪汤与当归拈痛汤的组成药物中均含有
选项A：甘草
选项B：白术
选项C：防风
选项D：当归
选项E：桂枝",A,D: 当归,False
201,中医诊断学,"题干描述：脉短如豆，滑数有力的脉象是
选项A：促脉
选项B：疾脉
选项C：微脉
选项D：动脉
选项E：短脉",D,选项B、疾脉,False
202,中药学,"题干描述：以下除哪项外，均是攻下药的适应证
选项A：饮食积滞
选项B：虚寒泻痢
选项C：血热妄行
选项D：冷积便秘
选项E：大肠燥热",B,E: 大肠燥热 不是攻下药的适应证。其他选项（A、B、C、D）都可以作为攻下药的适应证之一。,False
203,中医儿科学,"题干描述：手足口病的好发年龄哪种说法正确
选项A：2岁以下
选项B：3岁以下
选项C：4岁以下
选项D：5岁以下
选项E：6岁以下",D,选项A：2岁以下,False
204,中医内科,"题干描述：胸痹的辨证，应首辨的要点是
选项A：脉象变化
选项B：外感内伤
选项C：标本虚实
选项D：病情轻重
选项E：寒热虚实",D,选项C、标本虚实,False
205,中医儿科学,"题干描述：患儿，6个月。近期夜间啼哭，时哭时止，睡喜蜷曲，四肢欠温，吮乳无力，胃纳欠佳，大便溏，舌苔薄白，指纹淡红。其证候是
选项A：心经积热
选项B：脾寒气滞
选项C：肝胃不和
选项D：惊恐伤神
选项E：气血不足",B,选项B：脾寒气滞,False
206,中医外科,"题干描述：疖的治疗方法，以下列哪项为主
选项A：散风清热
选项B：泻火饵毒
选项C：凉血活血
选项D：清热解毒
选项E：和营解毒",D,选项C：凉血活血,False
207,针灸学,"题干描述：以下哪穴不是足太阴脾经的五输穴
选项A：大都
选项B：地机
选项C：商丘
选项D：太白
选项E：隐白",B,C、商丘 不是足太阴脾经的五输穴。其他选项都是该经络的五输穴，分别是A、大都、B、地机、D、太白和E、隐白。,False
